Business Name,Phone,PHONE_FOUND,Category,District,Taluka,Address,Rating,Reviews,Website,Facebook,Instagram,WhatsApp,Maps URL,Lead Type,lead_status,listing_opened,listing_failure_reason,whatsappStatus,contactedAt,lastMessage,notes,optOut,Export Date
Prashik Coaching Classes,9921783760,True,JEE Classes,Beed,Parli,"Mahatma Gandhi Rd, Tution Area, Anand Nagar, Ambajogai, Maharashtra 431517",4.8,50,,,,9921783760,https://www.google.com/maps/place/Prashik+Coaching+Classes/data=!4m7!3m6!1s0x3bc55f1cb0c1e985:0x5ea29daa76ed6c25!8m2!3d18.7281836!4d76.3930221!16s%2Fg%2F11f66d1gp8!19sChIJhenBsBxfxTsRJWztdqqdol4?authuser=0&hl=en&rclk=1,NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
Speakmantra English Academy,6916281531,True,English Speaking Classes,Beed,Patoda,"3rd floor, Cement Road, above SBI Bank, opposite of Akshay Bhavan, Mire Layout, Branch, Nandanvan, Nagpur, Maharashtra 440024",4.6,326,,,,6916281531,https://www.google.com/maps/place/SpeakMantra+English+Academy+-+Best+English+Speaking+Classes+in+Nandanvan+Nagpur+%7C+Spoken+English+Classes+in+Nandanvan+Nagpur/data=!4m7!3m6!1s0x3bd4c79c53661fcd:0xfa731189f28ed5a4!8m2!3d21.1294095!4d79.1197229!16s%2Fg%2F11kj42fwp0!19sChIJzR9mU5zH1DsRpNWO8okRc_o?authuser=0&hl=en&rclk=1,NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
Bansal Classes Parli NEET IIT JEE Main Advance MHT CET In Parli,8509147217,True,NEET Classes,Beed,Parli,"Madhav Baug Society, Parli Vaijnath, Maharashtra 431515",4.6,,,,,8509147217,"https://www.google.com/maps/place/Bansal+Classes+Parli+%7C+NEET,+IIT-JEE+%28Main%2BAdvance%29,+MHT-CET+Best+Coaching+Classes+In+Parli/data=!4m7!3m6!1s0x3bcff7b1f193b881:0x36bfb302644211a2!8m2!3d18.8494384!4d76.5204808!16s%2Fg%2F11qbxynqsr!19sChIJgbiT8bH3zzsRohFCZAKzvzY?authuser=0&hl=en&rclk=1",NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
Ideal English Medium School Shirur Kasar,9196641003,True,Tuition Classes,Beed,Shirur Kasar,"3C8C Q4W, Warni, Maharashtra 413249",4.4,29,,,,9196641003,https://www.google.com/maps/place/Ideal+English+Medium+School+%28Shirur+Kasar%29/data=!4m7!3m6!1s0x3bdb341a8cbfac41:0x4e77ed88d52eb14!8m2!3d19.0669797!4d75.4203352!16s%2Fg%2F11f4hlk8h6!19sChIJQay_jBo02zsRFOtSjdh-5wQ?authuser=0&hl=en&rclk=1,NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
Iti College Patoda,8509147217,True,Training Institute,Beed,Patoda,"RF3V J23, Patoda, Maharashtra 414204",4.4,21,,,,8509147217,"https://www.google.com/maps/place/ITI+College,Patoda/data=!4m7!3m6!1s0x3bc4c57d53098df7:0xc1768326388d612a!8m2!3d18.8040237!4d75.4925527!16s%2Fg%2F11gdz4ckxg!19sChIJ940JU33FxDsRKmGNOCaDdsE?authuser=0&hl=en&rclk=1",NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
Infinity Coaching Classes Parli Vai,8509147217,True,Training Institute,Beed,Parli,"Manik Nagar, Habib Pura, Parli Vaijnath, Maharashtra 431515",5.0,1,,,,8509147217,https://www.google.com/maps/place/INFINITY+COACHING+CLASSES+parli+vai/data=!4m7!3m6!1s0x3bcff7cedd78e0f1:0xd3e124f5a8fffc62!8m2!3d18.84484!4d76.524283!16s%2Fg%2F11n42v_c8z!19sChIJ8eB43c73zzsRYvz_qPUk4dM?authuser=0&hl=en&rclk=1,NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
Punam Art Of Learning Abacus Academy,6916281531,True,Abacus Classes,Beed,Patoda,"chimur, Bhisi, Maharashtra 442903",5.0,1,,,,6916281531,https://www.google.com/maps/place/Punam+art+of+learning+abacus+academy/data=!4m7!3m6!1s0x3a2cad50844050e9:0x38c91a9f3f39786!8m2!3d20.6325542!4d79.4010274!16s%2Fg%2F11z7mclbp1!19sChIJ6VBAhFCtLDoRhpfz86mRjAM?authuser=0&hl=en&rclk=1,NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
Sankalp Coaching Classes,9623375627,True,Tuition Classes,Beed,Patoda,"Sayyed Nagar, Patoda, Maharashtra 414204",5.0,1,,,,9623375627,https://www.google.com/maps/place/Sankalp+Coaching+Classes/data=!4m7!3m6!1s0x3bc4cf9ef4dd3c1f:0xcd20ec81b02f17e8!8m2!3d18.8052198!4d75.4776482!16s%2Fg%2F11n9cqfrwb!19sChIJHzzd9J7PxDsR6BcvsIHsIM0?authuser=0&hl=en&rclk=1,NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
Shivkrupa English Coaching Classes,8509147217,True,Tuition Classes,Beed,Patoda,"RF6J M84, SH155, Patoda, Maharashtra 414204",5.0,1,,,,8509147217,https://www.google.com/maps/place/Shivkrupa+English+coaching+classes/data=!4m7!3m6!1s0x3bc4cfdf03834a83:0x91e2e20c59b27761!8m2!3d18.8116455!4d75.4808324!16s%2Fg%2F11v69sn9x_!19sChIJg0qDA9_PxDsRYXeyWQzi4pE?authuser=0&hl=en&rclk=1,NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
Subodh Coaching Class Math Patoda,8509147217,True,Tuition Classes,Beed,Patoda,"Shop No 1, Patoda, Maharashtra 414204",5.0,1,,,,8509147217,"https://www.google.com/maps/place/Subodh+Coaching+Class%28Math%29+,+Patoda/data=!4m7!3m6!1s0x3bc4c55568402c73:0x241b980c497380b6!8m2!3d18.8007697!4d75.4823989!16s%2Fg%2F11l6gmysnb!19sChIJcyxAaFXFxDsRtoBzSQyYGyQ?authuser=0&hl=en&rclk=1",NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
Jijau Coaching Classes,6916281531,True,Coaching Classes,Beed,Shirur Kasar,"Jijau Coaching Classes, Baburao Nagar, Shirur, Maharashtra 412210",4.9,,,,,6916281531,https://www.google.com/maps/place/Jijau+Coaching+Classes/data=!4m7!3m6!1s0x3bc32d0041255dc5:0xa40445f89343a6bd!8m2!3d18.8164836!4d74.3714743!16s%2Fg%2F11y26mzkmv!19sChIJxV0lQQAtwzsRvaZDk_hFBKQ?authuser=0&hl=en&rclk=1,NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
Kshitij Coaching Classes,9196641003,True,Coaching Classes,Beed,Wadwani,"near bus stand, Wadwani, Maharashtra 431144",4.8,12,,,,9196641003,https://www.google.com/maps/place/Kshitij+Coaching+Classes/data=!4m7!3m6!1s0x3bc534ffcc8a384d:0xe72572becf11bcbf!8m2!3d18.9889664!4d76.0382019!16s%2Fg%2F11gfj61tg4!19sChIJTTiKzP80xTsRv7wRz75yJec?authuser=0&hl=en&rclk=1,NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
Dnyanda Science Academy,9196641003,True,Academy,Beed,Shirur Kasar,"First floor, Sky Tower Building, CT Bora College Rd, Irrigation Colony, Shirur, Maharashtra 412210",4.4,7,,,,9196641003,https://www.google.com/maps/place/Dnyanda+Science+Academy/data=!4m7!3m6!1s0x3bc32df94abf1d29:0xcf4c6dd46cc89dc!8m2!3d18.8214176!4d74.3745662!16s%2Fg%2F11spl944pd!19sChIJKR2_SvktwzsR3InMRt3G9Aw?authuser=0&hl=en&rclk=1,NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
Apex English School Patoda,8509147217,True,Academy,Beed,Patoda,"Nagar, Raimoha - Patoda Rd, Patoda, Maharashtra 414204",5.0,1,,,,8509147217,https://www.google.com/maps/place/Apex+English+School+Patoda/data=!4m7!3m6!1s0x3bc4cf787e9a43bd:0x55e81e73378bcf98!8m2!3d18.8122906!4d75.4811097!16s%2Fg%2F11f31bz3_k!19sChIJvUOafnjPxDsRmM-LN3Me6FU?authuser=0&hl=en&rclk=1,NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
Siddhi Kids Abacus,8509147217,True,Abacus Classes,Beed,Parli,"E- 18/105, TPS Colony, Parli Vaijnath, Maharashtra 431520",5.0,1,,,,8509147217,https://www.google.com/maps/place/SIDDHI+KIDS+ABACUS/data=!4m7!3m6!1s0x3bcff77c4f15205f:0x8a70445d110a9f47!8m2!3d18.858371!4d76.5307379!16s%2Fg%2F11np4_0hrw!19sChIJXyAVT3z3zzsRR58KEV1EcIo?authuser=0&hl=en&rclk=1,NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
आदित्य,9196641003,True,Academy,Beed,Wadwani,"X2QR 2H7, Wadwani, Maharashtra 431144",5.0,1,,,,9196641003,https://www.google.com/maps/place/%E0%A4%86%E0%A4%A6%E0%A4%BF%E0%A4%A4%E0%A5%8D%E0%A4%AF/data=!4m7!3m6!1s0x3bc535a3d75f04c3:0x4c5b599938049d3a!8m2!3d18.9875288!4d76.0414258!16s%2Fg%2F11ss7lyqwg!19sChIJwwRf16M1xTsROp0EOJlZW0w?authuser=0&hl=en&rclk=1,NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
श्री साई गणेश मिल्ट्री फाऊंडेशन,9196641003,True,Training Institute,Beed,Wadwani,"X3W7 FW5, Wadwani, Baheghavan, Maharashtra 431144",5.0,2,,,,9196641003,https://www.google.com/maps/place/%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80+%E0%A4%B8%E0%A4%BE%E0%A4%88+%E0%A4%97%E0%A4%A3%E0%A5%87%E0%A4%B6+%E0%A4%AE%E0%A4%BF%E0%A4%B2%E0%A5%8D%E0%A4%9F%E0%A5%8D%E0%A4%B0%E0%A5%80+%E0%A4%AB%E0%A4%BE%E0%A4%8A%E0%A4%82%E0%A4%A1%E0%A5%87%E0%A4%B6%E0%A4%A8/data=!4m7!3m6!1s0x3bc5350cb736dd0d:0x6bd6565f1c393cc8!8m2!3d18.9961183!4d76.0647704!16s%2Fg%2F11t142qmrb!19sChIJDd02tww1xTsRyDw5HF9W1ms?authuser=0&hl=en&rclk=1,NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
सेनापति आर्म्ड फोर्सेस एंड डिफेंस करियर डेवलेपमेंट अकैडमी Opening Soon...,8509147217,True,Training Institute,Beed,Parli,"RGQV 983 Maharashtra State Highway 169, Parli Vaijnath, Parli rural, Maharashtra 431515",5.0,1,,,,8509147217,https://www.google.com/maps/place/%E0%A4%B8%E0%A5%87%E0%A4%A8%E0%A4%BE%E0%A4%AA%E0%A4%A4%E0%A4%BF+%E0%A4%86%E0%A4%B0%E0%A5%8D%E0%A4%AE%E0%A5%8D%E0%A4%A1+%E0%A4%AB%E0%A5%8B%E0%A4%B0%E0%A5%8D%E0%A4%B8%E0%A5%87%E0%A4%B8+%E0%A4%8F%E0%A4%82%E0%A4%A1+%E0%A4%A1%E0%A4%BF%E0%A4%AB%E0%A5%87%E0%A4%82%E0%A4%B8+%E0%A4%95%E0%A4%B0%E0%A4%BF%E0%A4%AF%E0%A4%B0+%E0%A4%A1%E0%A5%87%E0%A4%B5%E0%A4%B2%E0%A5%87%E0%A4%AA%E0%A4%AE%E0%A5%87%E0%A4%82%E0%A4%9F+%E0%A4%85%E0%A4%95%E0%A5%88%E0%A4%A1%E0%A4%AE%E0%A5%80+opening+Soon.../data=!4m7!3m6!1s0x3bcff70056b1b153:0xc8f5ffe104de6016!8m2!3d18.8383138!4d76.5432652!16s%2Fg%2F11vz7v8b7f!19sChIJU7GxVgD3zzsRFmDeBOH_9cg?authuser=0&hl=en&rclk=1,NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
Yashwant Abhyasika,6916281531,True,Study Center,Beed,Patoda,"WCGQ 4F5, A/P Dongarkinhi, Tell, Patoda, Maharashtra 413229",5.0,2,,,,6916281531,https://www.google.com/maps/place/Yashwant+Abhyasika/data=!4m7!3m6!1s0x3bc4cde58e78e169:0xbfe08967a21bb55e!8m2!3d18.9252723!4d75.4387265!16s%2Fg%2F11hgj9djrg!19sChIJaeF4juXNxDsRXrUbomeJ4L8?authuser=0&hl=en&rclk=1,NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
Shriram Computer Typewriting Institute,8509147217,True,Computer Institute,Beed,Parli,"19, Vaidyanath Shoping Complex, opp. Post Office, Parli Vaijnath, Maharashtra 431520",5.0,,,,,8509147217,https://www.google.com/maps/place/Shriram+Computer+Typewriting+Institute/data=!4m7!3m6!1s0x3bcff72cd2d477d9:0x9ba2c756eace3062!8m2!3d18.8491875!4d76.5317285!16s%2Fg%2F11kcfkqd_z!19sChIJ2XfU0iz3zzsRYjDO6lbHops?authuser=0&hl=en&rclk=1,NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
Pragati Computers Shirur Kasar,9196641003,True,Computer Institute,Beed,Shirur Kasar,"near SBI Bank, Shivaji Nagar, Shirur Kasar, Maharashtra 413249",5.0,2,,,,9196641003,"https://www.google.com/maps/place/Pragati+Computers,Shirur+Kasar/data=!4m7!3m6!1s0x3bdb340055555555:0x46524b6f53e24b37!8m2!3d19.0637632!4d75.4266819!16s%2Fg%2F11f4m4bxn7!19sChIJVVVVVQA02zsRN0viU29LUkY?authuser=0&hl=en&rclk=1",NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
